dataset,mapper,mapped_q60,q_lt60_or_missed_pct,wrong_q60,index_sec,map_sec,memory_gb,reads
chrY_sim_10kbp_10x,minimap2,16159,66.8,0,5.9,1582.9,0.62,48673
chrY_sim_10kbp_10x,winnowmap2,44751,8.0,10,8.2,82969.0,10.16,48673
chrY_sim_10kbp_10x,blend,23866,50.6,191,5.1,627.4,0.56,48673
chrY_sim_10kbp_10x,mapquik,0,100.0,0,n/a,16.3,2.26,48673
chrY_sim_10kbp_10x,map-shmap,29286,39.8,0,n/a,1173.0,0.53,48673
chrY_sim_10kbp_10x,minshmap,15694,67.8,0,2.2,1278.3,0.71,48673
allchr_sim_10kbp_1x,minimap2,219985,9.4,0,1127.3,19512.0,12.22,242845
allchr_sim_10kbp_1x,winnowmap2,240114,1.1,3,370.7,22865.0,6.49,242845
allchr_sim_10kbp_1x,blend,228395,5.9,138,312.5,456.5,7.45,242845
allchr_sim_10kbp_1x,mapquik,0,100.0,1,n/a,251.5,5.04,242845
